Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw
1fd51698-f2f5-4f43-8261-b554458d1b0d,d68e6e79-4477-4a16-9321-79fde84c4200,Bartie,Marcile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(425)742-4489,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,SVP - Global Sales,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
87699213-19c5-455b-87fe-1b9689afb3ab,5aa47b5f-63aa-42d5-bde2-dfd9bcf3f36e,Odie,Karna,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3939,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11a23d52-15a9-4e8a-9870-271e7dfd94f3,35e6cdf2-b98a-4813-805e-b3ea5fa07b70,Kristo,Cassi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(223) 898-4313,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Executive VP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
019092be-4c3a-4b12-ba72-9f4e9ca73427,af33cce6-6933-473d-bbee-8604a2905a12,Walton,Ruthie,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3999,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9892a789-d8cc-4cfe-b9a9-45c9a01389a7,b7942613-5a8f-44cd-8f87-e3d40a15c74b,Raviv,Dulcea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(293) 243-6884,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Chief Executive Officer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33ac66b9-4504-411f-8187-c837f3cc9050,72935334-e171-4a4d-a6f6-52629c00588d,Jones,Katrine,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Buyer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
f563511f-5f1a-4f58-a4f0-fb909f2fc850,a25e7c5a-d566-4bcc-b900-1523563c50dd,Gray,Charmian,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Reliant Parkway,Houston,TX,77504,USA,#N/A,#N/A,#N/A,(902) 675-6698,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Executive Vice President - Wireless Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3e083581-2664-4aeb-944d-47fea7125714,df4db55a-57b8-4afc-a7b4-2358d7456367,El,Josi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(108) 720-4715,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CLO,#N/A,#N/A,#N/A,#N/A,"Kim M. Rivera is the Chief Legal Officer & General Counsel for HP Inc. In this role, she manages the worldwide legal department, responsible for all aspects of legal, government affairs, compliance and ethics.",#N/A,#N/A,#N/A
54ed9c12-cb83-44a0-b681-00218738dedb,6a13d0c4-731e-40a8-9679-4c59e1f8bfdd,Kellby,Audra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(243) 475-8098,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,EVP & General Counsel,#N/A,#N/A,#N/A,#N/A,"Nicole Jones is Executive Vice President and General Counsel for Cigna, reporting to Chief Executive Officer David Cordani. Jones rejoined Cigna after serving as Senior Vice President and General Counsel for Lincoln Financial. From 2006 to 2010, Jones was Cigna's deputy general counsel, corporate secretary and chief counsel of domestic health service, securities and investment law.",#N/A,#N/A,#N/A
447b35fc-cb4d-40d1-85a2-ce259c062086,7dab72e3-a96e-47b0-a303-6e2536e8930a,Baron,Angelica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(252) 525-1579,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,"EVP, Ops and Technology",#N/A,#N/A,#N/A,#N/A,"Meg McCarthy is Executive Vice President, Operations and Technology. She is responsible for information technology, service operations and global security for Aetna. She is a member of Aetna’s Executive Committee, the senior governing body of the company, reporting directly to Aetna's Chairman and CEO Mark T. Bertolini.",#N/A,#N/A,#N/A
